District,Confirmed,Active,Recovered,Deceased
Agar Malwa,1920,398,1506,16
Alirajpur,2610,636,1952,22
Anuppur,4412,805,3577,30
Ashoknagar,2337,563,1755,19
Balaghat,5809,1238,4541,30
Barwani,6343,989,5310,44
Betul,8060,1611,6333,116
Bhind,2040,219,1811,10
Bhopal,78934,11267,66960,707
Burhanpur,2008,223,1752,33
Chhatarpur,4488,437,4009,42
Chhindwara,5429,433,4910,86
Damoh,4645,1118,3425,102
Datia,3723,1137,2557,29
Dewas,4811,427,4344,40
Dhar,7236,1149,5999,88
Dindori,2452,593,1851,8
Guna,3464,835,2595,34
Gwalior,31832,8887,22628,317
Harda,3284,432,2810,42
Hoshangabad,6465,1396,4994,75
Indore,99925,12621,86212,1092
Jabalpur,31513,5993,25148,372
Jhabua,5567,1210,4320,37
Katni,6042,1637,4378,27
Khandwa,3447,208,3161,78
Khargone,9525,1177,8205,143
Mandla,3040,914,2114,12
Mandsaur,4967,922,4004,41
Morena,5127,1415,3679,33
Narsinghpur,6594,629,5923,42
Neemuch,5074,813,4199,62
Niwari,1737,762,964,11
Panna,3438,751,2672,15
Raisen,5279,1427,3795,57
Rajgarh,5321,1352,3877,92
Ratlam,9253,1317,7775,161
Rewa,8382,2256,6083,43
Sagar,9734,1631,7935,168
Satna,6740,1407,5279,54
Sehore,5456,1224,4183,49
Seoni,4243,905,3321,17
Shahdol,5840,1441,4339,60
Shajapur,4614,927,3655,32
Sheopur,2334,481,1836,17
Shivpuri,6262,1434,4789,39
Sidhi,4121,1281,2818,22
Singrauli,4320,1442,2837,41
Tikamgarh,3774,1410,2315,49
Ujjain,10808,2711,7962,135
Umaria,3318,837,2440,41
Vidisha,7606,2035,5462,109
